player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
215810,Tom King,Wolves,30.0,Goalkeeper,200.0,Wales,1.94,,right,2027.0
130164,Jordan Pickford,Everton,31.0,Goalkeeper,20000.0,England,1.85,CAA Stellar,left,2027.0
329813,João Virgínia,Everton,25.0,Goalkeeper,800.0,Portugal,1.92,Gestifute,left,2025.0
33873,Asmir Begovic,Everton,37.0,Goalkeeper,300.0,Bosnia-Herzegovina,1.99,Refuel Performance ...,right,2025.0
72476,Bernd Leno,Fulham,33.0,Goalkeeper,11000.0,Germany,1.9,,right,2027.0
381469,Steven Benda,Fulham,26.0,Goalkeeper,1000.0,Germany,1.92,,right,2026.0
371021,Arijanet Muric,Ipswich,26.0,Goalkeeper,6000.0,Kosovo,1.98,WINS,right,2028.0
208379,Christian Walton,Ipswich,29.0,Goalkeeper,1500.0,England,1.95,Refuel Performance ...,left,2026.0
245625,Alex Palmer,Ipswich,28.0,Goalkeeper,1200.0,England,1.91,,right,2028.0
427568,Aaron Ramsdale,Southampton,27.0,Goalkeeper,16000.0,England,1.9,,right,2028.0
585550,Gavin Bazunu,Southampton,23.0,Goalkeeper,11000.0,Ireland,1.88,,right,2027.0
336367,Joe Lumley,Southampton,30.0,Goalkeeper,600.0,England,1.9,Unique Sports Group,right,2025.0
95976,Alex McCarthy,Southampton,35.0,Goalkeeper,500.0,England,1.93,,right,2026.0
400536,Mads Hermansen,Leicester,24.0,Goalkeeper,15000.0,Denmark,1.87,,right,2028.0
260841,Daniel Iversen,Leicester,27.0,Goalkeeper,3000.0,Denmark,1.93,,right,2025.0
203026,Danny Ward,Leicester,31.0,Goalkeeper,1500.0,Wales,1.91,CAA Stellar,right,2025.0
486144,Jakub Stolarczyk,Leicester,24.0,Goalkeeper,400.0,Poland,1.94,Two Touch Agency,right,2026.0
566799,James Trafford,Burnley,22.0,Goalkeeper,20000.0,England,1.92,CAA Stellar,right,2027.0
696849,Etienne Green,Burnley,24.0,Goalkeeper,700.0,England,1.91,,right,2027.0
95795,Vaclav Hladky,Burnley,34.0,Goalkeeper,350.0,Czech Republic,1.92,,right,2026.0
542586,Illan Meslier,Leeds,25.0,Goalkeeper,16000.0,France,1.97,,left,2026.0
99397,Karl Darlow,Leeds,34.0,Goalkeeper,250.0,Wales,1.9,Unique Sports Group,right,2026.0
194386,Alex Cairns,Leeds,32.0,Goalkeeper,150.0,England,1.83,Refuel Performance ...,right,2026.0
475946,Anthony Patterson,Sunderland,25.0,Goalkeeper,12000.0,England,1.89,,right,2028.0
696892,Blondy Nna Noukeu,Sunderland,23.0,Goalkeeper,150.0,Cameroon,1.95,,right,2026.0
123536,Simon Moore,Sunderland,35.0,Goalkeeper,150.0,England,1.91,Wasserman,right,2026.0
533078,Michael Cooper,Sheff Utd,25.0,Goalkeeper,7000.0,England,1.86,Unique Sports Group,right,
121254,Adam Davies,Sheff Utd,32.0,Goalkeeper,400.0,Wales,1.85,Refuel Performance ...,right,2026.0
201574,Angus Gunn,Norwich,29.0,Goalkeeper,2500.0,Scotland,1.96,,right,2025.0
151334,George Long,Norwich,31.0,Goalkeeper,400.0,England,1.93,Wasserman,"
                            Aug 17, 2023                        ",2027.0
662744,Vicente Reyes,Norwich,21.0,Goalkeeper,350.0,Chile,1.96,,right,2027.0
504042,Daniel Barden,Norwich,24.0,Goalkeeper,150.0,Wales,1.95,,"
                            Jul 1, 2020                        ",2026.0
77757,Thomas Kaminski,Luton,32.0,Goalkeeper,2500.0,Belgium,1.9,TEAM KAMINSKI,"
                            Aug 3, 2023                        ",
91340,James Shea,Luton,33.0,Goalkeeper,175.0,England,1.85,,"
                            Jul 3, 2017                        ",2025.0
527329,Oliver Dovin,Coventry,22.0,Goalkeeper,2500.0,Sweden,1.88,CAA Stellar,right,2028.0
258914,Brad Collins,Coventry,28.0,Goalkeeper,1200.0,England,1.84,,right,2026.0
121352,Ben Wilson,Coventry,32.0,Goalkeeper,700.0,England,1.86,Wasserman,right,2027.0
547040,Cian Tyler,Coventry,23.0,Goalkeeper,50.0,Wales,1.88,,"
                            Jul 1, 2023                        ",2025.0
565979,Josh Griffiths,West Brom,23.0,Goalkeeper,1000.0,England,1.97,Unique Sports Group,right,2027.0
319851,Joe Wildsmith,West Brom,29.0,Goalkeeper,500.0,England,1.89,,right,2026.0
371013,Ivor Pandur,Hull City,25.0,Goalkeeper,2000.0,Croatia,1.87,,right,2027.0
655877,Thimothée Lo-Tutala,Hull City,22.0,Goalkeeper,350.0,France,1.91,Refuel Performance ...,right,2028.0
273742,Viktor Johansson,Stoke City,26.0,Goalkeeper,7000.0,Sweden,1.87,A.M.A. Sports Agency,"
                            Jul 1, 2024                        ",2027.0
209291,Jack Bonham,Stoke City,31.0,Goalkeeper,400.0,Ireland,1.92,Refuel Performance ...,right,2026.0
57070,Frank Fielding,Stoke City,37.0,Goalkeeper,150.0,England,1.85,Refuel Performance ...,right,2026.0
354456,Aynsley Pears,Blackburn,27.0,Goalkeeper,1200.0,England,1.85,CAA Stellar,right,2027.0
400044,Balázs Tóth,Blackburn,27.0,Goalkeeper,900.0,Hungary,1.89,,right,2027.0
